id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan,
3171041002,3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,317,0,316,1,16,2,14,0,123,2,26,1,94,
3172051003,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,308,1,306,1,22,1,21,0,33,2,29,0,2,
3173081003,3173081003,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,135,0,135,0,22,3,18,1,25,0,20,2,3,
3172021005,3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,268,2,266,0,44,1,42,1,46,0,31,0,15,
3174081002,3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,237,0,237,0,44,1,42,1,30,0,20,1,9,
3173011001,3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,452,1,451,0,25,2,23,0,38,3,29,1,5,
3174021005,3174021005,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,509,0,507,2,30,3,25,2,28,0,26,2,0,
3174091006,3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,184,2,182,0,38,4,34,0,17,1,7,0,9,
3171081004,3171081004,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,308,2,304,2,29,1,27,1,74,3,40,7,24,
3175091002,3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,612,3,608,1,51,2,46,3,28,2,14,2,10,
3173061004,3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,317,0,317,0,31,0,29,2,6,0,2,2,2,
3175021001,3175021001,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,286,0,286,0,32,0,30,2,21,2,12,3,4,
3171031008,3171031008,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,180,0,180,0,28,0,26,2,16,1,12,0,3,
3174031004,3174031004,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,342,3,339,0,31,1,28,2,21,0,18,1,2,
3175101006,3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,169,1,167,1,33,0,33,0,15,1,10,0,4,
3175041005,3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,110,1,109,0,27,4,23,0,18,0,14,1,3,
3174071008,3174071008,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,59,0,59,0,13,0,13,0,6,1,4,0,1,
3172041006,3172041006,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,136,2,134,0,22,1,19,2,13,2,4,1,6,
3173021001,3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,460,2,458,0,18,2,14,2,32,1,27,0,4,
3174071002,3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,137,1,136,0,22,2,17,3,11,0,8,1,2,
3173041006,3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,205,1,204,0,29,3,26,0,85,3,54,3,25,
3172041004,3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,145,0,145,0,40,1,35,4,32,1,17,4,10,
3173011004,3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,103,1,102,0,17,3,14,0,17,0,12,0,5,
3174071003,3174071003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,104,1,103,0,11,2,9,0,9,1,4,0,4,
3174071001,3174071001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,20,0,20,0,0,0,0,0,5,0,5,0,0,
3175101004,3175101004,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,98,1,97,0,13,0,13,0,12,0,8,0,4,
3174081003,3174081003,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,104,1,103,0,18,0,18,0,8,0,7,0,1,
3172031005,3172031005,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,195,0,195,0,50,3,46,1,23,5,13,0,5,
3175071005,3175071005,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,120,2,118,0,23,1,21,1,32,4,21,1,6,
3171031007,3171031007,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,164,1,163,0,18,2,15,1,20,0,14,0,6,
3173051002,3173051002,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,278,2,276,0,36,1,33,2,37,2,17,2,16,
3175041002,3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,497,3,494,0,80,9,70,1,83,6,54,8,15,
3174041004,3174041004,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,152,2,150,0,104,10,93,1,12,2,6,2,2,
3175101005,3175101005,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,103,0,103,0,21,2,19,0,8,1,4,0,3,
3174021007,3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,50,0,50,0,6,0,6,0,4,0,4,0,0,
3175101003,3175101003,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,125,1,124,0,26,2,22,2,12,0,6,1,5,
3174071007,3174071007,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,41,0,41,0,8,1,6,1,5,0,5,0,0,
3175051002,3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,67,0,67,0,3,0,3,0,8,1,5,0,2,
3172011002,3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,30,1,29,0,5,0,5,0,16,2,12,1,1,
3174091002,3174091002,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,260,0,260,0,39,4,35,0,28,2,20,3,3,
