tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-22,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,PELAYAN PUBLIK,DOSIS 1,3467
2021-06-22,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,PELAYAN PUBLIK,DOSIS 1,3846
2021-06-22,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,PELAYAN PUBLIK,DOSIS 1,3779
2021-06-22,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,PELAYAN PUBLIK,DOSIS 1,7920
2021-06-22,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PELAYAN PUBLIK,DOSIS 1,1590
2021-06-22,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,PELAYAN PUBLIK,DOSIS 1,5215
2021-06-22,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,PELAYAN PUBLIK,DOSIS 1,4401
2021-06-22,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PELAYAN PUBLIK,DOSIS 1,3210
2021-06-22,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,PELAYAN PUBLIK,DOSIS 1,3975
2021-06-22,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PELAYAN PUBLIK,DOSIS 1,2849
2021-06-22,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,PELAYAN PUBLIK,DOSIS 1,1551
2021-06-22,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,PELAYAN PUBLIK,DOSIS 1,5321
2021-06-22,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PELAYAN PUBLIK,DOSIS 1,3893
2021-06-22,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PELAYAN PUBLIK,DOSIS 1,1801
2021-06-22,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,PELAYAN PUBLIK,DOSIS 1,3826
2021-06-22,3171041002,JAKARTA PUSAT,SENEN,KENARI,PELAYAN PUBLIK,DOSIS 1,2226
2021-06-22,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,PELAYAN PUBLIK,DOSIS 1,4075
2021-06-22,3171041005,JAKARTA PUSAT,SENEN,KWITANG,PELAYAN PUBLIK,DOSIS 1,2906
2021-06-22,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,PELAYAN PUBLIK,DOSIS 1,4882
2021-06-22,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,PELAYAN PUBLIK,DOSIS 1,3807
2021-06-22,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,PELAYAN PUBLIK,DOSIS 1,3111
2021-06-22,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,PELAYAN PUBLIK,DOSIS 1,4307
2021-06-22,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,PELAYAN PUBLIK,DOSIS 1,4076
2021-06-22,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PELAYAN PUBLIK,DOSIS 1,4293
2021-06-22,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,PELAYAN PUBLIK,DOSIS 1,2976
2021-06-22,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,PELAYAN PUBLIK,DOSIS 1,3109
