tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-07-22,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Remaja,Dosis 1,818
2021-07-22,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Remaja,Dosis 1,2176
2021-07-22,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Remaja,Dosis 1,1149
2021-07-23,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Remaja,Dosis 1,841
2021-07-23,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,Remaja,Dosis 1,758
2021-07-23,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Remaja,Dosis 1,1124
2021-07-23,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Remaja,Dosis 1,1588
2021-07-23,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Remaja,Dosis 1,956
2021-07-23,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,Remaja,Dosis 1,489
2021-07-23,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,Remaja,Dosis 1,240
2021-07-23,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,Remaja,Dosis 1,851
2021-07-23,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,Remaja,Dosis 1,1074
2021-07-23,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,Remaja,Dosis 1,68
2021-07-23,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,Remaja,Dosis 1,102
2021-07-23,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,Remaja,Dosis 1,123
2021-07-23,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Remaja,Dosis 1,751
2021-07-23,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Remaja,Dosis 1,660
2021-07-23,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Remaja,Dosis 1,903
2021-07-23,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Remaja,Dosis 1,1384
2021-07-23,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Remaja,Dosis 1,314
2021-07-23,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Remaja,Dosis 1,1206
2021-07-23,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Remaja,Dosis 1,902
2021-07-23,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Remaja,Dosis 1,705
2021-07-23,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Remaja,Dosis 1,851
2021-07-23,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Remaja,Dosis 1,533
2021-07-23,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Remaja,Dosis 1,324
2021-07-23,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Remaja,Dosis 1,1452
2021-07-23,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Remaja,Dosis 1,935
2021-07-23,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Remaja,Dosis 1,413
2021-07-23,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Remaja,Dosis 1,797
2021-07-23,3171041002,JAKARTA PUSAT,SENEN,KENARI,Remaja,Dosis 1,342
2021-07-23,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,Remaja,Dosis 1,980
2021-07-23,3171041005,JAKARTA PUSAT,SENEN,KWITANG,Remaja,Dosis 1,703
2021-07-23,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Remaja,Dosis 1,942
2021-07-23,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,Remaja,Dosis 1,822
2021-07-23,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Remaja,Dosis 1,408
2021-07-23,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,Remaja,Dosis 1,917
2021-07-23,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Remaja,Dosis 1,741
2021-07-23,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Remaja,Dosis 1,926
2021-07-23,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Remaja,Dosis 1,476
2021-07-23,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Remaja,Dosis 1,453
2021-07-23,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Remaja,Dosis 1,885
2021-07-23,3171041001,JAKARTA PUSAT,SENEN,SENEN,Remaja,Dosis 1,319
2021-07-23,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,Remaja,Dosis 1,1250
2021-07-23,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Remaja,Dosis 1,871
2021-07-23,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Remaja,Dosis 1,2235
2021-07-23,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Remaja,Dosis 1,1239
2021-07-24,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Remaja,Dosis 1,895
2021-07-24,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,Remaja,Dosis 1,815
