tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-07-05,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,Tahapan 3,Dosis 1,4418
2021-07-05,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Tahapan 3,Dosis 1,3503
2021-07-05,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Tahapan 3,Dosis 1,7268
2021-07-05,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Tahapan 3,Dosis 1,3627
2021-07-06,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Tahapan 3,Dosis 1,3290
2021-07-06,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,Tahapan 3,Dosis 1,3115
2021-07-06,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Tahapan 3,Dosis 1,4083
2021-07-06,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Tahapan 3,Dosis 1,3948
2021-07-06,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Tahapan 3,Dosis 1,3417
2021-07-06,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,Tahapan 3,Dosis 1,2535
2021-07-06,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,Tahapan 3,Dosis 1,985
2021-07-06,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,Tahapan 3,Dosis 1,2737
2021-07-06,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,Tahapan 3,Dosis 1,4261
2021-07-06,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,Tahapan 3,Dosis 1,382
2021-07-06,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,Tahapan 3,Dosis 1,405
2021-07-06,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,Tahapan 3,Dosis 1,605
