id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,persentase_tempat_umum,satuan,tahun
161,32,JAWA BARAT,3275,KOTA BEKASI,PASAR,31,PERSEN,2019
162,32,JAWA BARAT,3276,KOTA DEPOK,SD,81,PERSEN,2019
163,32,JAWA BARAT,3276,KOTA DEPOK,SMP,79,PERSEN,2019
164,32,JAWA BARAT,3276,KOTA DEPOK,SMA,72,PERSEN,2019
165,32,JAWA BARAT,3276,KOTA DEPOK,PUSKESMAS,100,PERSEN,2019
166,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH SAKIT,100,PERSEN,2019
167,32,JAWA BARAT,3276,KOTA DEPOK,TEMPAT IBADAH,0,PERSEN,2019
168,32,JAWA BARAT,3276,KOTA DEPOK,PASAR,0,PERSEN,2019
169,32,JAWA BARAT,3277,KOTA CIMAHI,SD,62,PERSEN,2019
170,32,JAWA BARAT,3277,KOTA CIMAHI,SMP,68,PERSEN,2019
171,32,JAWA BARAT,3277,KOTA CIMAHI,SMA,69,PERSEN,2019
172,32,JAWA BARAT,3277,KOTA CIMAHI,PUSKESMAS,100,PERSEN,2019
173,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH SAKIT,17,PERSEN,2019
174,32,JAWA BARAT,3277,KOTA CIMAHI,TEMPAT IBADAH,36,PERSEN,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,PASAR,33,PERSEN,2019
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD,25,PERSEN,2019
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMP,22,PERSEN,2019
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA,21,PERSEN,2019
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PUSKESMAS,50,PERSEN,2019
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH SAKIT,25,PERSEN,2019
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TEMPAT IBADAH,19,PERSEN,2019
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PASAR,0,PERSEN,2019
183,32,JAWA BARAT,3279,KOTA BANJAR,SD,77,PERSEN,2019
184,32,JAWA BARAT,3279,KOTA BANJAR,SMP,66,PERSEN,2019
185,32,JAWA BARAT,3279,KOTA BANJAR,SMA,73,PERSEN,2019
186,32,JAWA BARAT,3279,KOTA BANJAR,PUSKESMAS,100,PERSEN,2019
187,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH SAKIT,100,PERSEN,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,TEMPAT IBADAH,58,PERSEN,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,PASAR,100,PERSEN,2019
