id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kasus,jenis_kelamin,jumlah_penderita,satuan,tahun
80,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS MENINGGAL,PEREMPUAN,2.0,ORANG,2019
81,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,,ORANG,2019
82,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,,ORANG,2019
83,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,,ORANG,2019
84,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,,ORANG,2019
85,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS PINDAH,LAKI-LAKI,,ORANG,2019
86,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS PINDAH,PEREMPUAN,,ORANG,2019
87,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS MENINGGAL,LAKI-LAKI,,ORANG,2019
88,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KRONIS MENINGGAL,PEREMPUAN,,ORANG,2019
89,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,4.0,ORANG,2019
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,17.0,ORANG,2019
91,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,,ORANG,2019
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS PINDAH,LAKI-LAKI,,ORANG,2019
94,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS PINDAH,PEREMPUAN,,ORANG,2019
95,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS MENINGGAL,LAKI-LAKI,,ORANG,2019
96,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KRONIS MENINGGAL,PEREMPUAN,,ORANG,2019
97,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,13.0,ORANG,2019
98,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,16.0,ORANG,2019
99,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,2.0,ORANG,2019
100,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,1.0,ORANG,2019
101,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
102,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS PINDAH,PEREMPUAN,1.0,ORANG,2019
103,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS MENINGGAL,LAKI-LAKI,6.0,ORANG,2019
104,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KRONIS MENINGGAL,PEREMPUAN,5.0,ORANG,2019
105,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,3.0,ORANG,2019
106,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,6.0,ORANG,2019
107,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
108,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
109,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
110,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
111,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS MENINGGAL,LAKI-LAKI,0.0,ORANG,2019
112,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
113,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,0.0,ORANG,2019
114,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,0.0,ORANG,2019
115,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,1.0,ORANG,2019
116,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
117,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
119,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS MENINGGAL,LAKI-LAKI,0.0,ORANG,2019
120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
121,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,22.0,ORANG,2019
122,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,24.0,ORANG,2019
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
125,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
126,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS MENINGGAL,LAKI-LAKI,2.0,ORANG,2019
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KRONIS MENINGGAL,PEREMPUAN,1.0,ORANG,2019
129,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,,ORANG,2019
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,,ORANG,2019
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,,ORANG,2019
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,,ORANG,2019
133,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS PINDAH,LAKI-LAKI,,ORANG,2019
134,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS PINDAH,PEREMPUAN,,ORANG,2019
135,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS MENINGGAL,LAKI-LAKI,,ORANG,2019
136,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KRONIS MENINGGAL,PEREMPUAN,,ORANG,2019
137,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,,ORANG,2019
138,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,,ORANG,2019
139,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,,ORANG,2019
140,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,,ORANG,2019
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS PINDAH,LAKI-LAKI,,ORANG,2019
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS PINDAH,PEREMPUAN,,ORANG,2019
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS MENINGGAL,LAKI-LAKI,,ORANG,2019
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KRONIS MENINGGAL,PEREMPUAN,,ORANG,2019
145,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,2.0,ORANG,2019
146,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,1.0,ORANG,2019
147,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
148,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
149,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
150,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
151,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS MENINGGAL,LAKI-LAKI,0.0,ORANG,2019
152,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
153,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,14.0,ORANG,2019
154,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,11.0,ORANG,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
156,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,1.0,ORANG,2019
157,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS PINDAH,LAKI-LAKI,3.0,ORANG,2019
158,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS PINDAH,PEREMPUAN,4.0,ORANG,2019
159,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS MENINGGAL,LAKI-LAKI,8.0,ORANG,2019
160,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KRONIS MENINGGAL,PEREMPUAN,2.0,ORANG,2019
161,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,10.0,ORANG,2019
162,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,10.0,ORANG,2019
163,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,1.0,ORANG,2019
164,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
165,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS PINDAH,LAKI-LAKI,2.0,ORANG,2019
166,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS PINDAH,PEREMPUAN,1.0,ORANG,2019
167,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS MENINGGAL,LAKI-LAKI,4.0,ORANG,2019
168,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KRONIS MENINGGAL,PEREMPUAN,6.0,ORANG,2019
169,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,,ORANG,2019
170,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,,ORANG,2019
171,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,,ORANG,2019
172,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,,ORANG,2019
173,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS PINDAH,LAKI-LAKI,,ORANG,2019
174,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS PINDAH,PEREMPUAN,,ORANG,2019
175,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS MENINGGAL,LAKI-LAKI,,ORANG,2019
176,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KRONIS MENINGGAL,PEREMPUAN,,ORANG,2019
177,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,9.0,ORANG,2019
178,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,13.0,ORANG,2019
179,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,2.0,ORANG,2019
180,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,2.0,ORANG,2019
181,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
182,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS PINDAH,PEREMPUAN,2.0,ORANG,2019
183,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS MENINGGAL,LAKI-LAKI,3.0,ORANG,2019
184,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KRONIS MENINGGAL,PEREMPUAN,2.0,ORANG,2019
185,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,9.0,ORANG,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,30.0,ORANG,2019
187,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,2.0,ORANG,2019
188,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,1.0,ORANG,2019
189,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS PINDAH,LAKI-LAKI,2.0,ORANG,2019
190,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS PINDAH,PEREMPUAN,10.0,ORANG,2019
191,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS MENINGGAL,LAKI-LAKI,3.0,ORANG,2019
192,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KRONIS MENINGGAL,PEREMPUAN,11.0,ORANG,2019
193,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,0.0,ORANG,2019
194,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,0.0,ORANG,2019
195,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
196,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
197,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
198,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
