id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_imunisasi,satuan,tahun
43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,1802.0,ORANG,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,1689.0,ORANG,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,16831.0,ORANG,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,16692.0,ORANG,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,21534.0,ORANG,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,20834.0,ORANG,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,3629.0,ORANG,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,3555.0,ORANG,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,4666.0,ORANG,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,4526.0,ORANG,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,1310.0,ORANG,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,1315.0,ORANG,2019
