id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_kasus,satuan,tahun
259,32,JAWA BARAT,3274,KOTA CIREBON,20-24,LAKI-LAKI,26,ORANG,2019
260,32,JAWA BARAT,3274,KOTA CIREBON,20-24,PEREMPUAN,6,ORANG,2019
261,32,JAWA BARAT,3274,KOTA CIREBON,25-49,LAKI-LAKI,101,ORANG,2019
262,32,JAWA BARAT,3274,KOTA CIREBON,25-49,PEREMPUAN,44,ORANG,2019
263,32,JAWA BARAT,3274,KOTA CIREBON,≥50,LAKI-LAKI,3,ORANG,2019
264,32,JAWA BARAT,3274,KOTA CIREBON,≥50,PEREMPUAN,1,ORANG,2019
265,32,JAWA BARAT,3275,KOTA BEKASI,0-4,LAKI-LAKI,3,ORANG,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,0-4,PEREMPUAN,1,ORANG,2019
267,32,JAWA BARAT,3275,KOTA BEKASI,5-14,LAKI-LAKI,0,ORANG,2019
268,32,JAWA BARAT,3275,KOTA BEKASI,5-14,PEREMPUAN,1,ORANG,2019
269,32,JAWA BARAT,3275,KOTA BEKASI,15-19,LAKI-LAKI,9,ORANG,2019
270,32,JAWA BARAT,3275,KOTA BEKASI,15-19,PEREMPUAN,2,ORANG,2019
271,32,JAWA BARAT,3275,KOTA BEKASI,20-24,LAKI-LAKI,45,ORANG,2019
272,32,JAWA BARAT,3275,KOTA BEKASI,20-24,PEREMPUAN,7,ORANG,2019
273,32,JAWA BARAT,3275,KOTA BEKASI,25-49,LAKI-LAKI,183,ORANG,2019
274,32,JAWA BARAT,3275,KOTA BEKASI,25-49,PEREMPUAN,68,ORANG,2019
275,32,JAWA BARAT,3275,KOTA BEKASI,≥50,LAKI-LAKI,10,ORANG,2019
276,32,JAWA BARAT,3275,KOTA BEKASI,≥50,PEREMPUAN,6,ORANG,2019
277,32,JAWA BARAT,3276,KOTA DEPOK,0-4,LAKI-LAKI,3,ORANG,2019
278,32,JAWA BARAT,3276,KOTA DEPOK,0-4,PEREMPUAN,0,ORANG,2019
279,32,JAWA BARAT,3276,KOTA DEPOK,5-14,LAKI-LAKI,1,ORANG,2019
280,32,JAWA BARAT,3276,KOTA DEPOK,5-14,PEREMPUAN,2,ORANG,2019
281,32,JAWA BARAT,3276,KOTA DEPOK,15-19,LAKI-LAKI,5,ORANG,2019
282,32,JAWA BARAT,3276,KOTA DEPOK,15-19,PEREMPUAN,4,ORANG,2019
283,32,JAWA BARAT,3276,KOTA DEPOK,20-24,LAKI-LAKI,42,ORANG,2019
284,32,JAWA BARAT,3276,KOTA DEPOK,20-24,PEREMPUAN,6,ORANG,2019
285,32,JAWA BARAT,3276,KOTA DEPOK,25-49,LAKI-LAKI,124,ORANG,2019
286,32,JAWA BARAT,3276,KOTA DEPOK,25-49,PEREMPUAN,45,ORANG,2019
287,32,JAWA BARAT,3276,KOTA DEPOK,≥50,LAKI-LAKI,13,ORANG,2019
288,32,JAWA BARAT,3276,KOTA DEPOK,≥50,PEREMPUAN,2,ORANG,2019
289,32,JAWA BARAT,3277,KOTA CIMAHI,0-4,LAKI-LAKI,0,ORANG,2019
290,32,JAWA BARAT,3277,KOTA CIMAHI,0-4,PEREMPUAN,0,ORANG,2019
291,32,JAWA BARAT,3277,KOTA CIMAHI,5-14,LAKI-LAKI,0,ORANG,2019
292,32,JAWA BARAT,3277,KOTA CIMAHI,5-14,PEREMPUAN,0,ORANG,2019
293,32,JAWA BARAT,3277,KOTA CIMAHI,15-19,LAKI-LAKI,0,ORANG,2019
294,32,JAWA BARAT,3277,KOTA CIMAHI,15-19,PEREMPUAN,0,ORANG,2019
295,32,JAWA BARAT,3277,KOTA CIMAHI,20-24,LAKI-LAKI,9,ORANG,2019
296,32,JAWA BARAT,3277,KOTA CIMAHI,20-24,PEREMPUAN,2,ORANG,2019
297,32,JAWA BARAT,3277,KOTA CIMAHI,25-49,LAKI-LAKI,27,ORANG,2019
298,32,JAWA BARAT,3277,KOTA CIMAHI,25-49,PEREMPUAN,4,ORANG,2019
299,32,JAWA BARAT,3277,KOTA CIMAHI,≥50,LAKI-LAKI,2,ORANG,2019
300,32,JAWA BARAT,3277,KOTA CIMAHI,≥50,PEREMPUAN,0,ORANG,2019
301,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0-4,LAKI-LAKI,1,ORANG,2019
302,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0-4,PEREMPUAN,0,ORANG,2019
303,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5-14,LAKI-LAKI,0,ORANG,2019
304,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5-14,PEREMPUAN,0,ORANG,2019
305,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15-19,LAKI-LAKI,1,ORANG,2019
306,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15-19,PEREMPUAN,1,ORANG,2019
307,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20-24,LAKI-LAKI,24,ORANG,2019
308,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20-24,PEREMPUAN,6,ORANG,2019
309,32,JAWA BARAT,3278,KOTA TASIKMALAYA,25-49,LAKI-LAKI,55,ORANG,2019
310,32,JAWA BARAT,3278,KOTA TASIKMALAYA,25-49,PEREMPUAN,16,ORANG,2019
311,32,JAWA BARAT,3278,KOTA TASIKMALAYA,≥50,LAKI-LAKI,1,ORANG,2019
312,32,JAWA BARAT,3278,KOTA TASIKMALAYA,≥50,PEREMPUAN,0,ORANG,2019
313,32,JAWA BARAT,3279,KOTA BANJAR ,0-4,LAKI-LAKI,2,ORANG,2019
314,32,JAWA BARAT,3279,KOTA BANJAR ,0-4,PEREMPUAN,0,ORANG,2019
315,32,JAWA BARAT,3279,KOTA BANJAR ,5-14,LAKI-LAKI,0,ORANG,2019
316,32,JAWA BARAT,3279,KOTA BANJAR ,5-14,PEREMPUAN,0,ORANG,2019
317,32,JAWA BARAT,3279,KOTA BANJAR ,15-19,LAKI-LAKI,3,ORANG,2019
318,32,JAWA BARAT,3279,KOTA BANJAR ,15-19,PEREMPUAN,1,ORANG,2019
319,32,JAWA BARAT,3279,KOTA BANJAR ,20-24,LAKI-LAKI,9,ORANG,2019
320,32,JAWA BARAT,3279,KOTA BANJAR ,20-24,PEREMPUAN,1,ORANG,2019
321,32,JAWA BARAT,3279,KOTA BANJAR ,25-49,LAKI-LAKI,23,ORANG,2019
322,32,JAWA BARAT,3279,KOTA BANJAR ,25-49,PEREMPUAN,5,ORANG,2019
323,32,JAWA BARAT,3279,KOTA BANJAR ,≥50,LAKI-LAKI,1,ORANG,2019
324,32,JAWA BARAT,3279,KOTA BANJAR ,≥50,PEREMPUAN,2,ORANG,2019
