id,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,persentase_peserta_kb_pasca_bersalin,satuan,tahun
128,JAWA BARAT,3271,KOTA BOGOR,SUNTIK,66.9,PERSEN,2019
129,JAWA BARAT,3271,KOTA BOGOR,PIL,15.9,PERSEN,2019
130,JAWA BARAT,3271,KOTA BOGOR,AKDR,11.7,PERSEN,2019
131,JAWA BARAT,3271,KOTA BOGOR,MOP,0.07,PERSEN,2019
132,JAWA BARAT,3271,KOTA BOGOR,MOW,0.09,PERSEN,2019
133,JAWA BARAT,3271,KOTA BOGOR,IMPLAN,0.5,PERSEN,2019
134,JAWA BARAT,3272,KOTA SUKABUMI,KONDOM,2.8,PERSEN,2019
135,JAWA BARAT,3272,KOTA SUKABUMI,SUNTIK,76.5,PERSEN,2019
136,JAWA BARAT,3272,KOTA SUKABUMI,PIL,8.2,PERSEN,2019
137,JAWA BARAT,3272,KOTA SUKABUMI,AKDR,7.3,PERSEN,2019
138,JAWA BARAT,3272,KOTA SUKABUMI,MOP,0.8,PERSEN,2019
139,JAWA BARAT,3272,KOTA SUKABUMI,MOW,1.13,PERSEN,2019
140,JAWA BARAT,3272,KOTA SUKABUMI,IMPLAN,3.26,PERSEN,2019
141,JAWA BARAT,3273,KOTA BANDUNG,KONDOM,3.8,PERSEN,2019
142,JAWA BARAT,3273,KOTA BANDUNG,SUNTIK,68.8,PERSEN,2019
143,JAWA BARAT,3273,KOTA BANDUNG,PIL,7.3,PERSEN,2019
144,JAWA BARAT,3273,KOTA BANDUNG,AKDR,17.3,PERSEN,2019
145,JAWA BARAT,3273,KOTA BANDUNG,MOP,0.05,PERSEN,2019
146,JAWA BARAT,3273,KOTA BANDUNG,MOW,0.35,PERSEN,2019
147,JAWA BARAT,3273,KOTA BANDUNG,IMPLAN,2.4,PERSEN,2019
148,JAWA BARAT,3274,KOTA CIREBON,KONDOM,4.4,PERSEN,2019
149,JAWA BARAT,3274,KOTA CIREBON,SUNTIK,61.8,PERSEN,2019
150,JAWA BARAT,3274,KOTA CIREBON,PIL,6.6,PERSEN,2019
151,JAWA BARAT,3274,KOTA CIREBON,AKDR,13.2,PERSEN,2019
152,JAWA BARAT,3274,KOTA CIREBON,MOP,0.74,PERSEN,2019
153,JAWA BARAT,3274,KOTA CIREBON,MOW,1.47,PERSEN,2019
154,JAWA BARAT,3274,KOTA CIREBON,IMPLAN,11.76,PERSEN,2019
155,JAWA BARAT,3275,KOTA BEKASI,KONDOM,4.1,PERSEN,2019
156,JAWA BARAT,3275,KOTA BEKASI,SUNTIK,66.0,PERSEN,2019
157,JAWA BARAT,3275,KOTA BEKASI,PIL,16.8,PERSEN,2019
158,JAWA BARAT,3275,KOTA BEKASI,AKDR,7.2,PERSEN,2019
159,JAWA BARAT,3275,KOTA BEKASI,MOP,0.03,PERSEN,2019
160,JAWA BARAT,3275,KOTA BEKASI,MOW,0.7,PERSEN,2019
161,JAWA BARAT,3275,KOTA BEKASI,IMPLAN,5.15,PERSEN,2019
162,JAWA BARAT,3276,KOTA DEPOK,KONDOM,5.4,PERSEN,2019
163,JAWA BARAT,3276,KOTA DEPOK,SUNTIK,62.6,PERSEN,2019
164,JAWA BARAT,3276,KOTA DEPOK,PIL,16.1,PERSEN,2019
165,JAWA BARAT,3276,KOTA DEPOK,AKDR,8.3,PERSEN,2019
166,JAWA BARAT,3276,KOTA DEPOK,MOP,0.01,PERSEN,2019
167,JAWA BARAT,3276,KOTA DEPOK,MOW,0.93,PERSEN,2019
168,JAWA BARAT,3276,KOTA DEPOK,IMPLAN,6.63,PERSEN,2019
169,JAWA BARAT,3277,KOTA CIMAHI,KONDOM,2.9,PERSEN,2019
170,JAWA BARAT,3277,KOTA CIMAHI,SUNTIK,52.4,PERSEN,2019
171,JAWA BARAT,3277,KOTA CIMAHI,PIL,6.6,PERSEN,2019
172,JAWA BARAT,3277,KOTA CIMAHI,AKDR,35.5,PERSEN,2019
173,JAWA BARAT,3277,KOTA CIMAHI,MOP,1.18,PERSEN,2019
174,JAWA BARAT,3277,KOTA CIMAHI,MOW,0.0,PERSEN,2019
175,JAWA BARAT,3277,KOTA CIMAHI,IMPLAN,1.33,PERSEN,2019
176,JAWA BARAT,3278,KOTA TASIKMALAYA,KONDOM,0.2,PERSEN,2019
177,JAWA BARAT,3278,KOTA TASIKMALAYA,SUNTIK,67.6,PERSEN,2019
178,JAWA BARAT,3278,KOTA TASIKMALAYA,PIL,9.6,PERSEN,2019
179,JAWA BARAT,3278,KOTA TASIKMALAYA,AKDR,21.3,PERSEN,2019
180,JAWA BARAT,3278,KOTA TASIKMALAYA,MOP,0.0,PERSEN,2019
181,JAWA BARAT,3278,KOTA TASIKMALAYA,MOW,0.77,PERSEN,2019
182,JAWA BARAT,3278,KOTA TASIKMALAYA,IMPLAN,0.65,PERSEN,2019
183,JAWA BARAT,3279,KOTA BANJAR,KONDOM,3.4,PERSEN,2019
184,JAWA BARAT,3279,KOTA BANJAR,SUNTIK,62.0,PERSEN,2019
185,JAWA BARAT,3279,KOTA BANJAR,PIL,13.9,PERSEN,2019
186,JAWA BARAT,3279,KOTA BANJAR,AKDR,8.5,PERSEN,2019
187,JAWA BARAT,3279,KOTA BANJAR,MOP,0.0,PERSEN,2019
188,JAWA BARAT,3279,KOTA BANJAR,MOW,1.36,PERSEN,2019
189,JAWA BARAT,3279,KOTA BANJAR,IMPLAN,10.85,PERSEN,2019
