id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,persentase_peserta_kb,satuan,tahun
145,32,JAWA BARAT,3273,KOTA BANDUNG,MOP,0.2,PERSEN,2019
146,32,JAWA BARAT,3273,KOTA BANDUNG,MOW,3.9,PERSEN,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,IMPLAN,2.5,PERSEN,2019
148,32,JAWA BARAT,3274,KOTA CIREBON,KONDOM,1.7,PERSEN,2019
149,32,JAWA BARAT,3274,KOTA CIREBON,SUNTIK,60.5,PERSEN,2019
150,32,JAWA BARAT,3274,KOTA CIREBON,PIL,11.6,PERSEN,2019
151,32,JAWA BARAT,3274,KOTA CIREBON,AKDR,13.0,PERSEN,2019
152,32,JAWA BARAT,3274,KOTA CIREBON,MOP,0.1,PERSEN,2019
153,32,JAWA BARAT,3274,KOTA CIREBON,MOW,8.2,PERSEN,2019
154,32,JAWA BARAT,3274,KOTA CIREBON,IMPLAN,4.9,PERSEN,2019
155,32,JAWA BARAT,3275,KOTA BEKASI,KONDOM,3.1,PERSEN,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,SUNTIK,46.2,PERSEN,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,PIL,21.6,PERSEN,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,AKDR,19.3,PERSEN,2019
159,32,JAWA BARAT,3275,KOTA BEKASI,MOP,0.6,PERSEN,2019
160,32,JAWA BARAT,3275,KOTA BEKASI,MOW,2.7,PERSEN,2019
161,32,JAWA BARAT,3275,KOTA BEKASI,IMPLAN,6.4,PERSEN,2019
162,32,JAWA BARAT,3276,KOTA DEPOK,KONDOM,4.2,PERSEN,2019
163,32,JAWA BARAT,3276,KOTA DEPOK,SUNTIK,46.2,PERSEN,2019
164,32,JAWA BARAT,3276,KOTA DEPOK,PIL,23.6,PERSEN,2019
165,32,JAWA BARAT,3276,KOTA DEPOK,AKDR,16.5,PERSEN,2019
166,32,JAWA BARAT,3276,KOTA DEPOK,MOP,0.4,PERSEN,2019
167,32,JAWA BARAT,3276,KOTA DEPOK,MOW,2.8,PERSEN,2019
168,32,JAWA BARAT,3276,KOTA DEPOK,IMPLAN,6.2,PERSEN,2019
169,32,JAWA BARAT,3277,KOTA CIMAHI,KONDOM,2.4,PERSEN,2019
170,32,JAWA BARAT,3277,KOTA CIMAHI,SUNTIK,52.4,PERSEN,2019
171,32,JAWA BARAT,3277,KOTA CIMAHI,PIL,13.2,PERSEN,2019
172,32,JAWA BARAT,3277,KOTA CIMAHI,AKDR,26.7,PERSEN,2019
173,32,JAWA BARAT,3277,KOTA CIMAHI,MOP,0.3,PERSEN,2019
174,32,JAWA BARAT,3277,KOTA CIMAHI,MOW,3.8,PERSEN,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,IMPLAN,1.2,PERSEN,2019
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KONDOM,1.4,PERSEN,2019
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SUNTIK,60.9,PERSEN,2019
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PIL,17.3,PERSEN,2019
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AKDR,15.1,PERSEN,2019
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MOP,0.2,PERSEN,2019
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MOW,1.9,PERSEN,2019
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,IMPLAN,3.3,PERSEN,2019
183,32,JAWA BARAT,3279,KOTA BANJAR,KONDOM,3.2,PERSEN,2019
184,32,JAWA BARAT,3279,KOTA BANJAR,SUNTIK,47.6,PERSEN,2019
185,32,JAWA BARAT,3279,KOTA BANJAR,PIL,21.9,PERSEN,2019
186,32,JAWA BARAT,3279,KOTA BANJAR,AKDR,10.4,PERSEN,2019
187,32,JAWA BARAT,3279,KOTA BANJAR,MOP,1.5,PERSEN,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,MOW,4.1,PERSEN,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,IMPLAN,11.3,PERSEN,2019
