id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,persentase_tpm,satuan,tahun
77,32,JAWA BARAT,3272,KOTA SUKABUMI,JASA BOGA,357,PERSEN,2019
78,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH MAKAN/RESTORAN,74,PERSEN,2019
79,32,JAWA BARAT,3272,KOTA SUKABUMI,DEPOT AIR MINUM (DAM),581,PERSEN,2019
80,32,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,82,PERSEN,2019
81,32,JAWA BARAT,3273,KOTA BANDUNG,JASA BOGA,596,PERSEN,2019
82,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH MAKAN/RESTORAN,516,PERSEN,2019
83,32,JAWA BARAT,3273,KOTA BANDUNG,DEPOT AIR MINUM (DAM),566,PERSEN,2019
84,32,JAWA BARAT,3273,KOTA BANDUNG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,511,PERSEN,2019
85,32,JAWA BARAT,3274,KOTA CIREBON,JASA BOGA,927,PERSEN,2019
86,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH MAKAN/RESTORAN,829,PERSEN,2019
87,32,JAWA BARAT,3274,KOTA CIREBON,DEPOT AIR MINUM (DAM),654,PERSEN,2019
88,32,JAWA BARAT,3274,KOTA CIREBON,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,862,PERSEN,2019
89,32,JAWA BARAT,3275,KOTA BEKASI,JASA BOGA,578,PERSEN,2019
90,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH MAKAN/RESTORAN,540,PERSEN,2019
91,32,JAWA BARAT,3275,KOTA BEKASI,DEPOT AIR MINUM (DAM),563,PERSEN,2019
92,32,JAWA BARAT,3275,KOTA BEKASI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,496,PERSEN,2019
93,32,JAWA BARAT,3276,KOTA DEPOK,JASA BOGA,635,PERSEN,2019
94,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH MAKAN/RESTORAN,473,PERSEN,2019
95,32,JAWA BARAT,3276,KOTA DEPOK,DEPOT AIR MINUM (DAM),63,PERSEN,2019
96,32,JAWA BARAT,3276,KOTA DEPOK,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,627,PERSEN,2019
97,32,JAWA BARAT,3277,KOTA CIMAHI,JASA BOGA,366,PERSEN,2019
98,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH MAKAN/RESTORAN,526,PERSEN,2019
99,32,JAWA BARAT,3277,KOTA CIMAHI,DEPOT AIR MINUM (DAM),397,PERSEN,2019
100,32,JAWA BARAT,3277,KOTA CIMAHI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,347,PERSEN,2019
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,JASA BOGA,159,PERSEN,2019
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH MAKAN/RESTORAN,119,PERSEN,2019
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DEPOT AIR MINUM (DAM),22,PERSEN,2019
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,104,PERSEN,2019
105,32,JAWA BARAT,3279,KOTA BANJAR,JASA BOGA,684,PERSEN,2019
106,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH MAKAN/RESTORAN,634,PERSEN,2019
107,32,JAWA BARAT,3279,KOTA BANJAR,DEPOT AIR MINUM (DAM),788,PERSEN,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,393,PERSEN,2019
