id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEMAM,3,ORANG,2019
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIFTERI,0,ORANG,2019
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAIN-LAIN,1,ORANG,2019
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PNEUMONIA,0,ORANG,2019
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIARE,0,ORANG,2019
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MALARIA,0,ORANG,2019
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CAMPAK,0,ORANG,2019
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEMAM,1,ORANG,2019
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIFTERI,0,ORANG,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAIN-LAIN,0,ORANG,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,PNEUMONIA,0,ORANG,2019
128,32,JAWA BARAT,3271,KOTA BOGOR,DIARE,0,ORANG,2019
129,32,JAWA BARAT,3271,KOTA BOGOR,MALARIA,0,ORANG,2019
130,32,JAWA BARAT,3271,KOTA BOGOR,CAMPAK,0,ORANG,2019
131,32,JAWA BARAT,3271,KOTA BOGOR,DEMAM,0,ORANG,2019
132,32,JAWA BARAT,3271,KOTA BOGOR,DIFTERI,0,ORANG,2019
133,32,JAWA BARAT,3271,KOTA BOGOR,LAIN-LAIN,4,ORANG,2019
134,32,JAWA BARAT,3272,KOTA SUKABUMI,PNEUMONIA,0,ORANG,2019
135,32,JAWA BARAT,3272,KOTA SUKABUMI,DIARE,0,ORANG,2019
136,32,JAWA BARAT,3272,KOTA SUKABUMI,MALARIA,0,ORANG,2019
137,32,JAWA BARAT,3272,KOTA SUKABUMI,CAMPAK,0,ORANG,2019
138,32,JAWA BARAT,3272,KOTA SUKABUMI,DEMAM,0,ORANG,2019
139,32,JAWA BARAT,3272,KOTA SUKABUMI,DIFTERI,0,ORANG,2019
140,32,JAWA BARAT,3272,KOTA SUKABUMI,LAIN-LAIN,1,ORANG,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,PNEUMONIA,3,ORANG,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,DIARE,1,ORANG,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,MALARIA,0,ORANG,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,CAMPAK,0,ORANG,2019
145,32,JAWA BARAT,3273,KOTA BANDUNG,DEMAM,13,ORANG,2019
146,32,JAWA BARAT,3273,KOTA BANDUNG,DIFTERI,0,ORANG,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN,10,ORANG,2019
148,32,JAWA BARAT,3274,KOTA CIREBON,PNEUMONIA,1,ORANG,2019
149,32,JAWA BARAT,3274,KOTA CIREBON,DIARE,0,ORANG,2019
150,32,JAWA BARAT,3274,KOTA CIREBON,MALARIA,0,ORANG,2019
151,32,JAWA BARAT,3274,KOTA CIREBON,CAMPAK,0,ORANG,2019
152,32,JAWA BARAT,3274,KOTA CIREBON,DEMAM,1,ORANG,2019
153,32,JAWA BARAT,3274,KOTA CIREBON,DIFTERI,0,ORANG,2019
154,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,2,ORANG,2019
155,32,JAWA BARAT,3275,KOTA BEKASI,PNEUMONIA,0,ORANG,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,DIARE,0,ORANG,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,MALARIA,0,ORANG,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,CAMPAK,0,ORANG,2019
159,32,JAWA BARAT,3275,KOTA BEKASI,DEMAM,0,ORANG,2019
160,32,JAWA BARAT,3275,KOTA BEKASI,DIFTERI,0,ORANG,2019
161,32,JAWA BARAT,3275,KOTA BEKASI,LAIN-LAIN,3,ORANG,2019
162,32,JAWA BARAT,3276,KOTA DEPOK,PNEUMONIA,0,ORANG,2019
163,32,JAWA BARAT,3276,KOTA DEPOK,DIARE,0,ORANG,2019
164,32,JAWA BARAT,3276,KOTA DEPOK,MALARIA,0,ORANG,2019
165,32,JAWA BARAT,3276,KOTA DEPOK,CAMPAK,0,ORANG,2019
166,32,JAWA BARAT,3276,KOTA DEPOK,DEMAM,1,ORANG,2019
167,32,JAWA BARAT,3276,KOTA DEPOK,DIFTERI,0,ORANG,2019
168,32,JAWA BARAT,3276,KOTA DEPOK,LAIN-LAIN,3,ORANG,2019
169,32,JAWA BARAT,3277,KOTA CIMAHI,PNEUMONIA,0,ORANG,2019
170,32,JAWA BARAT,3277,KOTA CIMAHI,DIARE,0,ORANG,2019
171,32,JAWA BARAT,3277,KOTA CIMAHI,MALARIA,0,ORANG,2019
172,32,JAWA BARAT,3277,KOTA CIMAHI,CAMPAK,0,ORANG,2019
173,32,JAWA BARAT,3277,KOTA CIMAHI,DEMAM,0,ORANG,2019
174,32,JAWA BARAT,3277,KOTA CIMAHI,DIFTERI,0,ORANG,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,LAIN-LAIN,2,ORANG,2019
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PNEUMONIA,1,ORANG,2019
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIARE,1,ORANG,2019
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MALARIA,0,ORANG,2019
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,CAMPAK,0,ORANG,2019
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DEMAM,0,ORANG,2019
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIFTERI,0,ORANG,2019
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAIN-LAIN,9,ORANG,2019
183,32,JAWA BARAT,3279,KOTA BANJAR,PNEUMONIA,1,ORANG,2019
184,32,JAWA BARAT,3279,KOTA BANJAR,DIARE,3,ORANG,2019
185,32,JAWA BARAT,3279,KOTA BANJAR,MALARIA,0,ORANG,2019
186,32,JAWA BARAT,3279,KOTA BANJAR,CAMPAK,0,ORANG,2019
187,32,JAWA BARAT,3279,KOTA BANJAR,DEMAM,1,ORANG,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,DIFTERI,0,ORANG,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,LAIN-LAIN,9,ORANG,2019
