id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,jumlah_tempat_umum,satuan,tahun
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH SAKIT UMUM,0,UNIT,2018
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HOTEL BINTANG,0,UNIT,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HOTEL NON-BINTANG,97,UNIT,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,SD,240,UNIT,2018
128,32,JAWA BARAT,3271,KOTA BOGOR,SMP,104,UNIT,2018
129,32,JAWA BARAT,3271,KOTA BOGOR,SMA,100,UNIT,2018
130,32,JAWA BARAT,3271,KOTA BOGOR,PUSKESMAS,48,UNIT,2018
131,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH SAKIT UMUM,19,UNIT,2018
132,32,JAWA BARAT,3271,KOTA BOGOR,HOTEL BINTANG,38,UNIT,2018
133,32,JAWA BARAT,3271,KOTA BOGOR,HOTEL NON-BINTANG,15,UNIT,2018
134,32,JAWA BARAT,3272,KOTA SUKABUMI,SD,96,UNIT,2018
135,32,JAWA BARAT,3272,KOTA SUKABUMI,SMP,31,UNIT,2018
136,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA,25,UNIT,2018
137,32,JAWA BARAT,3272,KOTA SUKABUMI,PUSKESMAS,15,UNIT,2018
138,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH SAKIT UMUM,6,UNIT,2018
139,32,JAWA BARAT,3272,KOTA SUKABUMI,HOTEL BINTANG,1,UNIT,2018
140,32,JAWA BARAT,3272,KOTA SUKABUMI,HOTEL NON-BINTANG,3,UNIT,2018
141,32,JAWA BARAT,3273,KOTA BANDUNG,SD,595,UNIT,2018
142,32,JAWA BARAT,3273,KOTA BANDUNG,SMP,241,UNIT,2018
143,32,JAWA BARAT,3273,KOTA BANDUNG,SMA,167,UNIT,2018
144,32,JAWA BARAT,3273,KOTA BANDUNG,PUSKESMAS,67,UNIT,2018
145,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH SAKIT UMUM,34,UNIT,2018
146,32,JAWA BARAT,3273,KOTA BANDUNG,HOTEL BINTANG,111,UNIT,2018
147,32,JAWA BARAT,3273,KOTA BANDUNG,HOTEL NON-BINTANG,139,UNIT,2018
148,32,JAWA BARAT,3274,KOTA CIREBON,SD,173,UNIT,2018
149,32,JAWA BARAT,3274,KOTA CIREBON,SMP,45,UNIT,2018
150,32,JAWA BARAT,3274,KOTA CIREBON,SMA,44,UNIT,2018
151,32,JAWA BARAT,3274,KOTA CIREBON,PUSKESMAS,22,UNIT,2018
152,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH SAKIT UMUM,11,UNIT,2018
