id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BBLR,79,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ASFIKSIA,35,ORANG,2019
99,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TETANUS NEONATORUM,0,ORANG,2019
100,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SEPSIS,0,ORANG,2019
101,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KELAINAN BAWAAN,1,ORANG,2019
102,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAIN-LAIN,10,ORANG,2019
103,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BBLR,10,ORANG,2019
104,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ASFIKSIA,4,ORANG,2019
105,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TETANUS NEONATORUM,0,ORANG,2019
106,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SEPSIS,0,ORANG,2019
107,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KELAINAN BAWAAN,4,ORANG,2019
108,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAIN-LAIN,3,ORANG,2019
109,32,JAWA BARAT,3271,KOTA BOGOR,BBLR,23,ORANG,2019
110,32,JAWA BARAT,3271,KOTA BOGOR,ASFIKSIA,11,ORANG,2019
111,32,JAWA BARAT,3271,KOTA BOGOR,TETANUS NEONATORUM,1,ORANG,2019
112,32,JAWA BARAT,3271,KOTA BOGOR,SEPSIS,1,ORANG,2019
113,32,JAWA BARAT,3271,KOTA BOGOR,KELAINAN BAWAAN,6,ORANG,2019
114,32,JAWA BARAT,3271,KOTA BOGOR,LAIN-LAIN,2,ORANG,2019
115,32,JAWA BARAT,3272,KOTA SUKABUMI,BBLR,5,ORANG,2019
116,32,JAWA BARAT,3272,KOTA SUKABUMI,ASFIKSIA,6,ORANG,2019
117,32,JAWA BARAT,3272,KOTA SUKABUMI,TETANUS NEONATORUM,0,ORANG,2019
118,32,JAWA BARAT,3272,KOTA SUKABUMI,SEPSIS,0,ORANG,2019
119,32,JAWA BARAT,3272,KOTA SUKABUMI,KELAINAN BAWAAN,3,ORANG,2019
120,32,JAWA BARAT,3272,KOTA SUKABUMI,LAIN-LAIN,4,ORANG,2019
121,32,JAWA BARAT,3273,KOTA BANDUNG,BBLR,43,ORANG,2019
122,32,JAWA BARAT,3273,KOTA BANDUNG,ASFIKSIA,19,ORANG,2019
123,32,JAWA BARAT,3273,KOTA BANDUNG,TETANUS NEONATORUM,0,ORANG,2019
124,32,JAWA BARAT,3273,KOTA BANDUNG,SEPSIS,8,ORANG,2019
125,32,JAWA BARAT,3273,KOTA BANDUNG,KELAINAN BAWAAN,6,ORANG,2019
126,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN,6,ORANG,2019
127,32,JAWA BARAT,3274,KOTA CIREBON,BBLR,3,ORANG,2019
128,32,JAWA BARAT,3274,KOTA CIREBON,ASFIKSIA,4,ORANG,2019
129,32,JAWA BARAT,3274,KOTA CIREBON,TETANUS NEONATORUM,0,ORANG,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,SEPSIS,1,ORANG,2019
131,32,JAWA BARAT,3274,KOTA CIREBON,KELAINAN BAWAAN,2,ORANG,2019
